,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,BKG Mendis (SL),2024-2024,48,55,5,1860,143,37.2,2040,91.17,2,11,3,200,37
1,YBK Jaiswal (IND),2024-2024,23,37,3,1771,214*,52.08,2301,76.96,3,11,3,200,52
2,P Nissanka (SL),2024-2024,37,42,4,1696,210*,44.63,1600,106.0,4,9,2,215,36
3,HC Brook (ENG),2024-2024,27,31,4,1575,317,58.33,1646,95.68,5,6,1,152,30
4,JE Root (ENG),2024-2024,17,31,3,1556,262,55.57,2455,63.38,6,5,1,147,2
5,PHKD Mendis (SL),2024-2024,34,38,7,1458,182*,47.03,1935,75.34,5,5,2,148,33
6,BM Duckett (ENG),2024-2024,22,37,1,1454,153,40.38,1598,90.98,3,8,2,188,11
7,Mohammad Rizwan (PAK),2024-2024,37,40,8,1420,171*,44.37,1754,80.95,1,9,3,108,35
8,TM Head (AUS),2024-2024,29,35,2,1399,154*,42.39,1224,114.29,4,5,5,162,52
9,Saim Ayub (PAK),2024-2024,35,41,3,1254,113*,33.0,1406,89.18,3,5,1,144,37
10,Shubman Gill (IND),2024-2024,23,33,3,1189,119*,39.63,1686,70.52,3,5,3,127,24
11,T Stubbs (SA),2024-2024,33,38,7,1174,122,37.87,1562,75.16,3,3,2,95,29
12,Babar Azam (PAK),2024-2024,35,39,3,1168,75,32.44,1273,91.75,-,9,3,128,21
13,RG Sharma (IND),2024-2024,28,40,3,1154,131,31.18,1329,86.83,3,7,3,131,42
14,KS Williamson (NZ),2024-2024,15,23,3,1124,156,56.2,1950,57.64,4,5,1,132,7
15,Muhammad Waseem (UAE),2024-2024,37,37,3,1110,100,32.64,873,127.14,1,8,4,83,61
16,Rahmanullah Gurbaz (AFG),2024-2024,33,34,-,1101,121,32.38,1105,99.63,3,7,5,87,50
17,R Ravindra (NZ),2024-2024,19,31,2,1079,240,37.2,1716,62.87,2,5,1,105,17
18,Mehidy Hasan Miraz (BAN),2024-2024,23,30,3,1025,97,37.96,1649,62.15,-,7,-,110,9
19,OJ Pope (ENG),2024-2024,17,30,-,994,196,33.13,1443,68.88,3,4,3,120,5
